Grid Name,Grid Rows,Grid Columns,Num Of Agents,Num Of Obstacles,Instance Id,A*/SIC Success,A*/SIC Runtime,A*/SIC Solution Cost,A*/SIC Expanded,A*/SIC Generated,A*/SIC Reopened,A*/SIC BPMX boosts,A*/SIC Closed List Hits,A*/SIC Reopened With Old H,A*/SIC H Updated From Other Area,A*/SIC Max expansion delay,A*/SIC Quick Insertions,A*/SIC Quick Insertions Cancelled,A*/SIC Max Group,A*/SIC Solution Depth,
Random Grid,20,20,5,40,1,1,414.8521,38,9,17963,0,0,523,0,0,0,9,62,5,0,
Random Grid,20,20,1,40,0,1,28.3275,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.139800000000008,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.1494,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.0801999999999907,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,5,40,0,1,923.4853,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,1,40,0,1,25.4107,18,18,46,0,0,39,0,0,0,18,4,1,0,
Random Grid,20,20,1,40,1,1,0.136699999999991,14,14,37,0,0,29,0,0,0,14,8,1,0,
Random Grid,20,20,1,40,2,1,0.154499999999999,12,12,37,0,0,24,0,0,0,12,10,1,0,
Random Grid,20,20,1,40,3,1,0.110599999999991,18,18,47,0,0,37,0,0,0,18,10,1,0,
Random Grid,20,20,4,40,0,1,40.1615,62,18,7421,0,0,473,0,0,0,18,58,4,0,
Random Grid,20,20,4,40,1,1,18.541,31,9,4136,0,0,229,0,0,0,9,12,4,0,
Random Grid,20,20,4,40,2,1,27.4413999999997,31,9,3877,0,0,224,0,0,0,9,35,4,0,
Random Grid,20,20,1,40,0,1,28.2579,18,18,46,0,0,39,0,0,0,18,4,1,0,
Random Grid,20,20,1,40,1,1,0.136300000000006,14,14,37,0,0,29,0,0,0,14,8,1,0,
Random Grid,20,20,1,40,2,1,0.0814000000000021,12,12,37,0,0,24,0,0,0,12,10,1,0,
Random Grid,20,20,1,40,3,1,0.0939999999999941,18,18,47,0,0,37,0,0,0,18,10,1,0,
Random Grid,20,20,4,40,0,1,49.4138,62,18,7421,0,0,473,0,0,0,18,58,4,0,
Random Grid,20,20,4,40,1,1,17.165,31,9,4136,0,0,229,0,0,0,9,12,4,0,
Random Grid,20,20,4,40,2,1,24.0948,31,9,3877,0,0,224,0,0,0,9,35,4,0,
Random Grid,20,20,1,40,0,1,28.0513,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.139499999999998,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.165099999999995,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.0829999999999984,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.0517999999999859,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,920.9237,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,317.1041,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,5705.6135,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,1,40,0,1,31.7701,18,18,46,0,0,39,0,0,0,18,4,1,0,
Random Grid,20,20,1,40,1,1,0.19680000000001,14,14,37,0,0,29,0,0,0,14,8,1,0,
Random Grid,20,20,1,40,2,1,0.119700000000009,12,12,37,0,0,24,0,0,0,12,10,1,0,
Random Grid,20,20,1,40,3,1,0.156800000000004,18,18,47,0,0,37,0,0,0,18,10,1,0,
Random Grid,20,20,4,40,0,1,39.2063,62,18,7421,0,0,473,0,0,0,18,58,4,0,
Random Grid,20,20,4,40,1,1,17.9642,31,9,4136,0,0,229,0,0,0,9,12,4,0,
Random Grid,20,20,4,40,2,1,14.5391,31,9,3877,0,0,224,0,0,0,9,35,4,0,
Random Grid,20,20,1,40,0,1,26.6852,12,12,29,0,0,25,0,0,0,12,7,1,0,
Random Grid,20,20,1,40,1,1,0.170200000000008,17,17,44,0,0,34,0,0,0,17,3,1,0,
Random Grid,20,20,1,40,2,1,0.0789999999999935,6,6,18,0,0,11,0,0,0,6,10,1,0,
Random Grid,20,20,1,40,3,1,0.893600000000006,17,17,44,0,0,34,0,0,0,16,8,1,0,
Random Grid,20,20,1,40,4,1,0.133200000000016,14,14,39,0,0,29,0,0,0,13,9,1,0,
Random Grid,20,20,1,40,5,1,0.087299999999999,17,17,44,0,0,35,0,0,0,16,6,1,0,
Random Grid,20,20,6,40,0,1,2409.9687,83,17,121974,0,0,2231,0,0,0,17,214,6,0,
Random Grid,20,20,6,40,1,1,15090.757,43,35,198921,1994,0,103787,0,0,26,20,73,6,0,
Random Grid,20,20,6,40,2,1,903.3262,40,8,59197,0,0,818,0,0,0,8,44,6,0,
Random Grid,20,20,1,40,0,1,29.6588,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.146600000000007,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.110200000000006,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.0789999999999793,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.0568999999999846,4,4,13,0,0,7,0,0,0,4,3,1,0,
